Link,Club,League,Name,Market value,Date of birth/Age,Place of birth,Citizenship,Height,Foot,Position,Player agent,Joined,Contract expires,Competition_Total_Appearances,Competition_Total_Goals,Competition_Total_Own_Goals,Competition_Total_Assists,Competition_Total_Yellow_Cards,Competition_Total_Red_Cards,Competition_Total_Substitutions_On,Competition_Total_Substitutions_Off,Competition_Total_Clean_Sheets,Competition_Total_Goals_Conceded,Competition_Total_Minutes_Played,Competition_National_Appearances,Competition_National_Goals,Competition_National_Own_Goals,Competition_National_Assists,Competition_National_Yellow_Cards,Competition_National_Red_Cards,Competition_National_Substitutions_On,Competition_National_Substitutions_Off,Competition_National_Goals_Conceded,Competition_National_Clean_Sheets,Competition_National_Minutes_Played,Competition_International_Appearances,Competition_International_Goals,Competition_International_Own_Goals,Competition_International_Assists,Competition_International_Yellow_Cards,Competition_International_Red_Cards,Competition_International_Substitutions_On,Competition_International_Substitutions_Off,Competition_International_Clean_Sheets,Competition_International_Goals_Conceded,Competition_International_Minutes_Played,Competition_Nationalcup_Appearances,Competition_Nationalcup_Goals,Competition_Nationalcup_Own_Goals,Competition_Nationalcup_Assists,Competition_Nationalcup_Yellow_Cards,Competition_Nationalcup_Red_Cards,Competition_Nationalcup_Substitutions_On,Competition_Nationalcup_Substitutions_Off,Competition_Nationalcup_Clean_Sheets,Competition_Nationalcup_Goals_Conceded,Competition_Nationalcup_Minutes_Played
https://www.transfermarkt.com//rayan-ait-nouri/profil/spieler/578391,Manchester City,Premier League,Rayan Aït-Nouri,€40.00m,06/06/2001 (24),Montreuil,Algeria  France,"1,80 m",left,Defender - Left-Back,CAA Stellar,09/06/2025,30/06/2030,13,Na,Na,2,2,Na,5,4,,,579',7,Na,Na,Na,1,Na,3,2,,,285',4,Na,Na,Na,Na,Na,1,1,,,229',,,,,,,,,,,
https://www.transfermarkt.com//nico-oreilly/profil/spieler/743413,Manchester City,Premier League,Nico O'Reilly,€40.00m,21/03/2005 (20),Manchester,England  Jamaica,"1,93 m",left,Defender - Left-Back,SEG,01/07/2024,30/06/2030,34,3,Na,5,7,Na,7,9,,,2.534',23,1,Na,3,4,Na,5,5,,,1.705',7,1,Na,2,2,Na,1,1,,,581',1,1,Na,Na,Na,Na,1,Na,,,45'
https://www.transfermarkt.com//matheus-nunes/profil/spieler/601883,Manchester City,Premier League,Matheus Nunes,€38.00m,27/08/1998 (27),Rio de Janeiro,Portugal  Brazil,"1,83 m",right,Defender - Right-Back,Gestifute,01/09/2023,30/06/2028,29,1,Na,5,6,Na,4,3,,,2.310',21,1,Na,5,4,Na,2,2,,,1.757',5,Na,Na,Na,Na,Na,1,Na,,,377',Na,Na,Na,Na,Na,Na,Na,Na,,,Na
https://www.transfermarkt.com//rico-lewis/profil/spieler/701057,Manchester City,Premier League,Rico Lewis,€35.00m,21/11/2004 (21),Bury,England  Jamaica,"1,70 m",right,Defender - Right-Back,CAA Base Ltd,01/07/2022,30/06/2030,19,2,Na,3,2,Na,9,3,,,918',10,Na,Na,1,1,Na,7,1,,,312',4,Na,Na,1,Na,Na,1,2,,,218',1,2,Na,1,Na,Na,Na,Na,,,90'
https://www.transfermarkt.com//rodri/profil/spieler/357565,Manchester City,Premier League,Rodri,€75.00m,22/06/1996 (29),Madrid,Spain,"1,91 m",right,Midfield - Defensive Midfield,Pablo Barquero,04/07/2019,30/06/2027,17,1,Na,Na,3,Na,5,6,,,981',12,Na,Na,Na,2,Na,4,3,,,725',3,Na,Na,Na,1,Na,Na,2,,,183',1,1,Na,Na,Na,Na,Na,1,,,45'
https://www.transfermarkt.com//nico-gonzalez/profil/spieler/466805,Manchester City,Premier League,Nico González,€45.00m,03/01/2002 (24),A Coruña,Spain,"1,88 m",right,Midfield - Defensive Midfield,Gestifute,03/02/2025,30/06/2029,30,1,Na,Na,5,Na,8,9,,,1.989',20,1,Na,Na,5,Na,5,6,,,1.356',7,Na,Na,Na,Na,Na,3,1,,,394',Na,Na,Na,Na,Na,Na,Na,Na,,,Na
https://www.transfermarkt.com//tijjani-reijnders/profil/spieler/460939,Manchester City,Premier League,Tijjani Reijnders,€65.00m,29/07/1998 (27),Zwolle,Netherlands,"1,85 m",right,Midfield - Central Midfield,Relatives,10/06/2025,30/06/2030,35,6,Na,7,2,Na,11,13,,,2.144',23,5,Na,2,2,Na,6,11,,,1.434',8,Na,Na,3,Na,Na,3,2,,,489',1,1,Na,1,Na,Na,Na,Na,,,90'
https://www.transfermarkt.com//mateo-kovacic/profil/spieler/51471,Manchester City,Premier League,Mateo Kovacic,€15.00m,06/05/1994 (31),Linz,Croatia,"1,77 m",right,Midfield - Central Midfield,VPA SPORTS ...,01/07/2023,30/06/2027,2,Na,Na,Na,Na,Na,2,Na,,,37',1,Na,Na,Na,Na,Na,1,Na,,,4',1,Na,Na,Na,Na,Na,1,Na,,,33',,,,,,,,,,,
https://www.transfermarkt.com//sverre-nypan/profil/spieler/911736,Manchester City,Premier League,Sverre Nypan,€15.00m,19/12/2006 (19),Trondheim,Norway,"1,82 m",both,Midfield - Central Midfield,Rafaela Pimenta,17/07/2025,30/06/2030,22,Na,Na,Na,2,Na,18,4,,,712',,,,,,,,,,,,,,,,,,,,,,,1,Na,Na,Na,Na,Na,1,Na,,,10'
https://www.transfermarkt.com//phil-foden/profil/spieler/406635,Manchester City,Premier League,Phil Foden,€80.00m,28/05/2000 (25),Stockport,England,"1,71 m",left,Midfield - Attacking Midfield,,01/07/2017,30/06/2027,33,10,Na,4,4,Na,7,12,,,2.385',22,7,Na,2,3,Na,3,7,,,1.648',7,2,Na,1,1,Na,2,2,,,508',Na,Na,Na,Na,Na,Na,Na,Na,,,Na
https://www.transfermarkt.com//rayan-cherki/profil/spieler/607223,Manchester City,Premier League,Rayan Cherki,€50.00m,17/08/2003 (22),Lyon,France  Algeria,"1,77 m",both,Midfield - Attacking Midfield,,10/06/2025,30/06/2030,29,9,Na,9,2,Na,11,12,,,1.570',19,3,Na,7,1,Na,7,9,,,1.028',6,3,Na,Na,1,Na,3,2,,,283',1,Na,Na,1,Na,Na,Na,Na,,,90'
https://www.transfermarkt.com//bernardo-silva/profil/spieler/241641,Manchester City,Premier League,Bernardo Silva,€27.00m,10/08/1994 (31),Lisboa,Portugal,"1,73 m",left,Midfield - Attacking Midfield,Gestifute,01/07/2017,30/06/2026,33,1,Na,5,8,Na,7,13,,,2.362',24,Na,Na,4,4,Na,4,13,,,1.761',6,1,Na,Na,3,Na,1,Na,,,461',1,Na,Na,Na,Na,Na,1,Na,,,26'
https://www.transfermarkt.com//jeremy-doku/profil/spieler/486049,Manchester City,Premier League,Jérémy Doku,€65.00m,27/05/2002 (23),Borgerhout,Belgium  Ghana,"1,73 m",right,Attack - Left Winger,Elevate,24/08/2023,30/06/2028,30,3,Na,11,Na,Na,9,17,,,1.831',20,1,Na,6,Na,Na,7,10,,,1.188',7,1,Na,3,Na,Na,1,6,,,450',1,Na,Na,2,Na,Na,1,Na,,,26'
https://www.transfermarkt.com//savinho/profil/spieler/743591,Manchester City,Premier League,Savinho,€45.00m,10/04/2004 (21),São Mateus,Brazil,"1,76 m",left,Attack - Left Winger,Promanager,18/07/2024,30/06/2031,23,2,Na,3,3,Na,13,7,,,1.032',15,Na,Na,2,1,Na,10,4,,,535',6,Na,Na,1,2,Na,3,2,,,324',,,,,,,,,,,
https://www.transfermarkt.com//antoine-semenyo/profil/spieler/583255,Manchester City,Premier League,Antoine Semenyo,€65.00m,07/01/2000 (26),London,Ghana  England,"1,85 m",right,Attack - Right Winger,,09/01/2026,30/06/2031,26,14,Na,4,6,Na,1,3,,,2.269',23,12,Na,3,6,Na,Na,2,,,2.070',,,,,,,,,,,,1,1,Na,1,Na,Na,Na,1,,,64'
https://www.transfermarkt.com//erling-haaland/profil/spieler/418560,Manchester City,Premier League,Erling Haaland,€200.00m,21/07/2000 (25),Leeds,Norway,"1,95 m",left,Attack - Centre-Forward,Rafaela Pimenta,01/07/2022,30/06/2034,34,27,Na,5,Na,Na,2,12,,,2.766',24,20,Na,5,Na,Na,1,7,,,2.014',8,7,Na,Na,Na,Na,1,4,,,617',1,Na,Na,Na,Na,Na,Na,1,,,45'
https://www.transfermarkt.com//omar-marmoush/profil/spieler/445939,Manchester City,Premier League,Omar Marmoush,€65.00m,07/02/1999 (26),Kairo,Egypt  Canada,"1,83 m",right,Attack - Centre-Forward,CAA Stellar,23/01/2025,30/06/2029,19,2,Na,1,Na,Na,13,5,,,551',12,1,Na,1,Na,Na,9,3,,,281',6,Na,Na,Na,Na,Na,4,2,,,180',,,,,,,,,,,
https://www.transfermarkt.com//david-raya/profil/spieler/262749,Arsenal FC,Premier League,David Raya,€35.00m,15/09/1995 (30),Barcelona,Spain,"1,83 m",right,Goalkeeper,FUTBOL21 AGENCY,04/07/2024,30/06/2028,31,Na,Na,,1,Na,Na,Na,17,19,2.790',24,Na,Na,,1,Na,Na,Na,17,12,2.160',7,Na,Na,,Na,Na,Na,Na,5,2,630',Na,Na,Na,,Na,Na,Na,Na,Na,Na,Na
https://www.transfermarkt.com//kepa-arrizabalaga/profil/spieler/192279,Arsenal FC,Premier League,Kepa Arrizabalaga,€7.00m,03/10/1994 (31),Ondarroa,Spain,"1,88 m",right,Goalkeeper,AC Talent,01/07/2025,30/06/2028,7,Na,Na,,2,Na,Na,Na,3,6,630',Na,Na,Na,,Na,Na,Na,Na,Na,Na,Na,1,Na,Na,,Na,Na,Na,Na,Na,2,90',1,Na,Na,,Na,Na,Na,Na,Na,1,90'
https://www.transfermarkt.com//william-saliba/profil/spieler/495666,Arsenal FC,Premier League,William Saliba,€90.00m,24/03/2001 (24),Bondy,France  Cameroon,"1,92 m",right,Defender - Centre-Back,ND SPORTS MANAGEMENT,25/07/2019,30/06/2030,29,Na,Na,1,1,Na,1,2,,,2.435',20,Na,Na,Na,Na,Na,1,2,,,1.625',5,Na,Na,Na,1,Na,Na,Na,,,450',,,,,,,,,,,
https://www.transfermarkt.com//gabriel-magalhaes/profil/spieler/435338,Arsenal FC,Premier League,Gabriel Magalhães,€75.00m,19/12/1997 (28),São Paulo,Brazil,"1,90 m",left,Defender - Centre-Back,Bertolucci Sports,01/09/2020,30/06/2029,28,4,Na,3,2,Na,4,4,,,2.173',18,3,Na,2,1,Na,1,1,,,1.536',5,1,Na,1,1,Na,1,2,,,342',1,Na,Na,Na,Na,Na,Na,1,,,76'
https://www.transfermarkt.com//piero-hincapie/profil/spieler/659813,Arsenal FC,Premier League,Piero Hincapié,€50.00m,09/01/2002 (24),Esmeraldas,Ecuador,"1,84 m",left,Defender - Centre-Back,AS1,01/09/2025,30/06/2026,22,Na,Na,Na,2,Na,4,8,,,1.521',1,Na,Na,Na,Na,Na,Na,Na,,,90',4,Na,Na,Na,Na,Na,2,2,,,182',,,,,,,,,,,
https://www.transfermarkt.com//cristhian-mosquera/profil/spieler/646750,Arsenal FC,Premier League,Cristhian Mosquera,€35.00m,27/06/2004 (21),Alicante,Spain  Colombia,"1,91 m",right,Defender - Centre-Back,INVSPORT (Sergio ...,24/07/2025,30/06/2030,18,Na,Na,Na,1,Na,8,3,,,988',10,Na,Na,Na,1,Na,6,2,,,430',6,Na,Na,Na,Na,Na,2,1,,,378',,,,,,,,,,,
https://www.transfermarkt.com//riccardo-calafiori/profil/spieler/502821,Arsenal FC,Premier League,Riccardo Calafiori,€50.00m,19/05/2002 (23),Roma,Italy,"1,88 m",left,Defender - Left-Back,World Soccer Agency,29/07/2024,30/06/2029,22,1,Na,3,6,Na,3,12,,,1.553',17,1,Na,2,5,Na,1,10,,,1.279',4,Na,Na,1,1,Na,2,2,,,184',,,,,,,,,,,
https://www.transfermarkt.com//myles-lewis-skelly/profil/spieler/890721,Arsenal FC,Premier League,Myles Lewis-Skelly,€40.00m,26/09/2006 (19),London,England  Barbados,"1,78 m",left,Defender - Left-Back,Relatives,01/07/2024,30/06/2030,25,Na,Na,4,5,Na,14,2,,,1.207',14,Na,Na,Na,3,Na,13,1,,,312',7,Na,Na,2,1,Na,1,1,,,535',1,Na,Na,Na,1,Na,Na,Na,,,90'
https://www.transfermarkt.com//jurrien-timber/profil/spieler/420243,Arsenal FC,Premier League,Jurriën Timber,€70.00m,17/06/2001 (24),Utrecht,Netherlands  Curacao,"1,79 m",right,Defender - Right-Back,Forza Sports Group,14/07/2023,30/06/2028,34,3,Na,5,5,Na,5,7,,,2.646',23,2,Na,4,4,Na,2,3,,,1.912',6,1,Na,1,Na,Na,1,4,,,423',1,Na,Na,Na,Na,Na,1,Na,,,21'
https://www.transfermarkt.com//ben-white/profil/spieler/335721,Arsenal FC,Premier League,Ben White,€30.00m,08/10/1997 (28),Poole,England,"1,86 m",right,Defender - Right-Back,,30/07/2021,30/06/2028,18,1,Na,2,2,Na,6,7,,,1.001',7,Na,Na,1,Na,Na,2,2,,,411',7,Na,Na,1,1,Na,4,2,,,290',1,Na,Na,Na,1,Na,Na,1,,,69'
https://www.transfermarkt.com//martin-zubimendi/profil/spieler/423440,Arsenal FC,Premier League,Martín Zubimendi,€75.00m,02/02/1999 (27),Donostia-San Sebastián,Spain,"1,81 m",right,Midfield - Defensive Midfield,IDUB GLOBAL,06/07/2025,30/06/2030,33,5,Na,3,7,Na,2,8,,,2.712',24,4,Na,1,4,Na,1,7,,,2.001',6,Na,Na,2,3,Na,Na,1,,,523',1,Na,Na,Na,Na,Na,1,Na,,,8'
https://www.transfermarkt.com//christian-norgaard/profil/spieler/148367,Arsenal FC,Premier League,Christian Nørgaard,€9.00m,10/03/1994 (31),København,Denmark,"1,87 m",right,Midfield - Defensive Midfield,PEP Consulting,10/07/2025,30/06/2027,12,Na,Na,1,2,Na,5,1,,,678',3,Na,Na,Na,Na,Na,3,Na,,,31',5,Na,Na,Na,2,Na,2,1,,,287',1,Na,Na,1,Na,Na,Na,Na,,,90'
https://www.transfermarkt.com//declan-rice/profil/spieler/357662,Arsenal FC,Premier League,Declan Rice,€120.00m,14/01/1999 (27),London,England  Ireland,"1,88 m",right,Midfield - Central Midfield,Relatives,15/07/2023,30/06/2028,34,4,Na,9,5,Na,6,6,,,2.576',23,4,Na,5,2,Na,1,4,,,1.969',6,Na,Na,2,3,Na,2,1,,,409',Na,Na,Na,Na,Na,Na,Na,Na,,,Na
https://www.transfermarkt.com//mikel-merino/profil/spieler/338424,Arsenal FC,Premier League,Mikel Merino,€30.00m,22/06/1996 (29),Pamplona,Spain,"1,89 m",left,Midfield - Central Midfield,Bahía Internacional,27/08/2024,30/06/2028,33,6,Na,3,5,Na,13,7,,,1.877',21,4,Na,3,1,Na,11,5,,,999',7,2,Na,Na,3,Na,1,1,,,515',1,Na,Na,Na,Na,Na,Na,Na,,,90'
https://www.transfermarkt.com//martin-odegaard/profil/spieler/316264,Arsenal FC,Premier League,Martin Ødegaard,€75.00m,17/12/1998 (27),Drammen,Norway,"1,78 m",left,Midfield - Attacking Midfield,Nordic Sky,20/08/2021,30/06/2028,25,1,Na,6,Na,Na,9,10,,,1.347',18,1,Na,5,Na,Na,5,8,,,1.020',4,Na,Na,1,Na,Na,2,1,,,215',1,Na,Na,Na,Na,Na,1,Na,,,21'
https://www.transfermarkt.com//eberechi-eze/profil/spieler/479999,Arsenal FC,Premier League,Eberechi Eze,€65.00m,29/06/1998 (27),London,England  Nigeria,"1,78 m",right,Midfield - Attacking Midfield,CAA Base Ltd,23/08/2025,30/06/2029,32,5,Na,4,1,Na,9,17,,,1.986',19,4,Na,2,1,Na,7,10,,,1.064',7,Na,Na,2,Na,Na,2,4,,,421',1,Na,Na,Na,Na,Na,Na,Na,,,90'
https://www.transfermarkt.com//gabriel-martinelli/profil/spieler/655488,Arsenal FC,Premier League,Gabriel Martinelli,€45.00m,18/06/2001 (24),Guarulhos,Brazil  Italy,"1,78 m",right,Attack - Left Winger,Roc Nation Sports,02/07/2019,30/06/2027,30,10,Na,2,2,Na,15,12,,,1.297',18,1,Na,1,2,Na,11,7,,,580',7,6,Na,1,Na,Na,3,2,,,382',1,3,Na,Na,Na,Na,Na,1,,,82'
https://www.transfermarkt.com//leandro-trossard/profil/spieler/144028,Arsenal FC,Premier League,Leandro Trossard,€20.00m,04/12/1994 (31),Waterschei,Belgium,"1,72 m",right,Attack - Left Winger,FOKUS,20/01/2023,30/06/2027,30,7,Na,7,2,Na,11,17,,,1.760',20,5,Na,4,1,Na,6,12,,,1.338',5,1,Na,3,Na,Na,1,4,,,287',,,,,,,,,,,
https://www.transfermarkt.com//bukayo-saka/profil/spieler/433177,Arsenal FC,Premier League,Bukayo Saka,€130.00m,05/09/2001 (24),London,England  Nigeria,"1,78 m",left,Attack - Right Winger,Elite Project Group ...,01/07/2019,30/06/2027,31,7,Na,7,1,Na,8,8,,,2.118',21,4,Na,5,1,Na,4,6,,,1.549',6,2,Na,2,Na,Na,2,1,,,374',Na,Na,Na,Na,Na,Na,Na,Na,,,Na
https://www.transfermarkt.com//noni-madueke/profil/spieler/503987,Arsenal FC,Premier League,Noni Madueke,€50.00m,10/03/2002 (23),London,England  Nigeria,"1,82 m",left,Attack - Right Winger,,18/07/2025,30/06/2030,22,4,Na,3,1,Na,8,12,,,1.171',15,1,Na,1,Na,Na,7,8,,,642',4,3,Na,Na,1,Na,1,2,,,303',1,Na,Na,2,Na,Na,Na,Na,,,90'
https://www.transfermarkt.com//max-dowman/profil/spieler/1187629,Arsenal FC,Premier League,Max Dowman,€20.00m,31/12/2009 (16),Chelmsford,England,"1,83 m",left,Attack - Right Winger,,01/07/2025,-,9,6,Na,1,Na,Na,4,2,,,487',2,Na,Na,1,Na,Na,2,Na,,,27',1,Na,Na,Na,Na,Na,1,Na,,,18',,,,,,,,,,,
https://www.transfermarkt.com//viktor-gyokeres/profil/spieler/325443,Arsenal FC,Premier League,Viktor Gyökeres,€70.00m,04/06/1998 (27),Stockholm,Sweden  Hungary,"1,89 m",right,Attack - Centre-Forward,HCM Sports ...,26/07/2025,30/06/2030,31,11,Na,2,3,Na,6,18,,,2.024',22,6,Na,Na,3,Na,4,12,,,1.462',6,4,Na,1,Na,Na,1,4,,,392',Na,Na,Na,Na,Na,Na,Na,Na,,,Na
https://www.transfermarkt.com//kai-havertz/profil/spieler/309400,Arsenal FC,Premier League,Kai Havertz,€55.00m,11/06/1999 (26),Aachen,Germany,"1,93 m",left,Attack - Centre-Forward,ROOF,01/07/2023,30/06/2028,6,2,Na,1,Na,Na,4,2,,,186',2,Na,Na,Na,Na,Na,1,1,,,91',1,1,Na,1,Na,Na,Na,1,,,45',1,Na,Na,Na,Na,Na,1,Na,,,21'
https://www.transfermarkt.com//gabriel-jesus/profil/spieler/363205,Arsenal FC,Premier League,Gabriel Jesus,€20.00m,03/04/1997 (28),São Paulo,Brazil,"1,75 m",right,Attack - Centre-Forward,Branchini Associati ...,04/07/2022,30/06/2027,15,4,Na,1,1,Na,11,4,,,500',9,2,Na,Na,1,Na,8,1,,,221',3,2,Na,Na,Na,Na,2,1,,,116',1,Na,Na,1,Na,Na,Na,1,,,69'
https://www.transfermarkt.com//robert-sanchez/profil/spieler/403151,Chelsea FC,Premier League,Robert Sánchez,€22.00m,18/11/1997 (28),Cartagena,Spain  England,"1,97 m",right,Goalkeeper,CAA Stellar,05/08/2023,30/06/2030,32,Na,Na,,2,1,1,Na,13,37,2.750',23,Na,Na,,2,1,Na,Na,24,10,1.985',7,Na,Na,,Na,Na,1,Na,3,9,585',Na,Na,Na,,Na,Na,Na,Na,Na,Na,Na
https://www.transfermarkt.com//filip-jorgensen/profil/spieler/585323,Chelsea FC,Premier League,Filip Jørgensen,€15.00m,16/04/2002 (23),Lomma,Denmark  Sweden,"1,92 m",right,Goalkeeper,Goal Management,30/07/2024,30/06/2031,8,Na,Na,,1,Na,1,1,1,10,669',2,Na,Na,,Na,Na,1,Na,3,Na,174',2,Na,Na,,Na,Na,Na,1,1,1,135',1,Na,Na,,Na,Na,Na,Na,Na,1,90'
https://www.transfermarkt.com//gabriel-slonina/profil/spieler/656316,Chelsea FC,Premier League,Gabriel Slonina,€3.50m,15/05/2004 (21),"Addison, Illinois",United States  Poland,"1,93 m",right,Goalkeeper,SXI,02/08/2022,30/06/2028,3,Na,Na,,1,Na,Na,Na,1,4,270',Na,Na,Na,,Na,Na,Na,Na,Na,Na,Na,,,,,,,,,,,,,,,,,,,,,,
https://www.transfermarkt.com//levi-colwill/profil/spieler/614258,Chelsea FC,Premier League,Levi Colwill,€50.00m,26/02/2003 (22),Southampton,England,"1,87 m",left,Defender - Centre-Back,FA Sport,01/07/2022,30/06/2029,178,6,2,8,27,Na,21,21,,,14.364',75,3,Na,4,12,Na,7,8,,,6.168',,,,,,,,,,,,4,Na,Na,Na,Na,Na,2,1,,,232'
https://www.transfermarkt.com//trevoh-chalobah/profil/spieler/346314,Chelsea FC,Premier League,Trevoh Chalobah,€35.00m,05/07/1999 (26),Freetown,England  Sierra Leone,"1,92 m",right,Defender - Centre-Back,CAA Base Ltd,01/07/2021,30/06/2028,33,3,1,Na,4,1,3,2,,,2.679',23,3,Na,Na,3,1,Na,1,,,2.012',6,Na,1,Na,1,Na,2,1,,,391',Na,Na,Na,Na,Na,Na,Na,Na,,,Na
https://www.transfermarkt.com//wesley-fofana/profil/spieler/475411,Chelsea FC,Premier League,Wesley Fofana,€28.00m,17/12/2000 (25),Marseille,France  Cote d'Ivoire,"1,88 m",right,Defender - Centre-Back,DWMA,31/08/2022,30/06/2029,22,Na,Na,2,3,Na,6,5,,,1.504',13,Na,Na,1,2,Na,4,3,,,853',5,Na,Na,1,1,Na,1,1,,,391',1,Na,Na,Na,Na,Na,1,Na,,,5'
https://www.transfermarkt.com//mamadou-sarr/profil/spieler/910905,Chelsea FC,Premier League,Mamadou Sarr,€25.00m,29/08/2005 (20),Martigues,Senegal  France,"1,94 m",right,Defender - Centre-Back,Classico,09/06/2025,30/06/2033,18,Na,Na,Na,4,Na,Na,1,,,1.575',15,Na,Na,Na,3,Na,Na,1,,,1.305',,,,,,,,,,,,,,,,,,,,,,
